id,__str__,link_detail_backend,metadata,numero,ano,numero_protocolo,data_apresentacao,tipo_apresentacao,data_publicacao,numero_origem_externa,ano_origem_externa,data_origem_externa,apelido,dias_prazo,data_fim_prazo,em_tramitacao,polemica,objeto,complementar,ementa,indexacao,observacao,resultado,texto_original,data_ultima_atualizacao,ip,ultima_edicao,tipo,regime_tramitacao,tipo_origem_externa,local_origem_externa,user,anexadas,autores
2315,Requerimento nº 14 de 2026,/materia/2315,{},14,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca da Rua Jorge Pires Ferreira com a Rua Maria de Nazaré Assunção, Telha, Camará, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2315/req_014-2026.pdf,2026-02-23T13:48:19.338198-03:00,168.196.107.176,2026-02-19T15:55:48.319219-03:00,7,1,,,2,[],[10]
2316,Requerimento nº 15 de 2026,/materia/2316,{},15,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a operação tapa-buraco na Rua Ângelo Rodrigues Monteiro, Rua Antônio Soares Pereira e Rua José Amora Moreira, em Telha, Camará, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2316/req_015-2026.pdf,2026-02-23T13:48:19.489945-03:00,168.196.107.176,2026-02-19T15:55:56.672536-03:00,7,1,,,2,[],[10]
2317,Requerimento nº 16 de 2026,/materia/2317,{},16,2026,,2026-02-02,E,,,,,,,,False,False,,False,Solicita a disponibilização de caminhões limpa-fossa para atendimento das demandas de limpeza e manutenção sanitária no Município de Aquiraz.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2317/req_016-2026.pdf,2026-02-23T13:48:19.620222-03:00,168.196.107.176,2026-02-19T15:57:33.534822-03:00,7,1,,,2,[],[10]
2318,Requerimento nº 17 de 2026,/materia/2318,{},17,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca da Rua Consuelo Alves Pires, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2318/req_017-2026.pdf,2026-02-23T13:48:19.778127-03:00,168.196.107.176,2026-02-19T15:57:42.452507-03:00,7,1,,,2,[],[10]
2319,Requerimento nº 18 de 2026,/materia/2319,{},18,2026,,2026-02-02,E,,,,,,,,False,False,,False,Requer a disponibilização de veículo destinado ao transporte de mudança para atendimento de famílias em situação de vulnerabilidade social neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2319/req_018-2026.pdf,2026-02-23T13:48:19.949345-03:00,168.196.107.176,2026-02-19T15:57:50.951142-03:00,7,1,,,2,[],[10]
2320,Requerimento nº 19 de 2026,/materia/2320,{},19,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção de um Polo de Lazer na Lagoa do Camará e na Lagoa Patanhém, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2320/req_019-2026.pdf,2026-02-23T13:48:20.110449-03:00,168.196.107.176,2026-02-19T15:58:21.334383-03:00,7,1,,,2,[],[10]
2321,Requerimento nº 20 de 2026,/materia/2321,{},20,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca da Rua José Jurandir Alves da Rocha, em Telha, Camará, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2321/req_020-2026.pdf,2026-02-23T13:48:20.270334-03:00,168.196.107.176,2026-02-19T15:58:29.758359-03:00,7,1,,,2,[],[10]
2322,Requerimento nº 21 de 2026,/materia/2322,{},21,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca da Rua Damião Pires Cardoso, que inicia na Avenida Manoel Feliciano de Lima e finaliza na Rua Aldenora Cardoso Porto, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2322/req_021-2026.pdf,2026-02-23T13:48:20.406807-03:00,38.211.206.144,2026-02-19T16:07:05.348443-03:00,7,1,,,2,[],[10]
2323,Requerimento nº 22 de 2026,/materia/2323,{},22,2026,,2026-02-02,E,,,,,,,,False,False,,False,Requer a construção de uma areninha na localidade de Picão neste município.,,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2323/req_022-2026.pdf,2026-02-23T13:48:20.619112-03:00,38.211.206.144,2026-02-19T16:07:24.601957-03:00,7,1,,,2,[],[5]
2324,Requerimento nº 23 de 2026,/materia/2324,{},23,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a pavimentação em pedra tosca (calçamento) da Rua do Bagre, localizado no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2324/req_023-2026.pdf,2026-02-23T13:48:20.766028-03:00,38.211.206.144,2026-02-19T16:07:31.710694-03:00,7,1,,,2,[],[5]
